id_sentence,title,id_bug,id_comment,position_sentence,content_sentence,pre_label,result_label
1,cmake' is not recognised as an internal or external command,1,1,0.125,"I'm trying to run cmake in Visual Studio 10, for esys-particle-win.",0,1
2,cmake' is not recognised as an internal or external command,1,1,0.25,The commands I'm typing in the administrator command prompt of Visual Studio 2010 are.,1,1
3,cmake' is not recognised as an internal or external command,1,1,0.375,and I'm getting this error,1,1
4,cmake' is not recognised as an internal or external command,1,1,0.5,could anyone tell me where I am wrong?,1,1
5,cmake' is not recognised as an internal or external command,1,2,0.625,The error message means it cannot find cmake,1,2
6,cmake' is not recognised as an internal or external command,1,2,0.75,You can add its location to your path from the prompt like this:,2,2
7,cmake' is not recognised as an internal or external command,1,3,0.875,the error message means it cannont find Cmake.,2,2
8,cmake' is not recognised as an internal or external command,1,3,1,Note that quotes aren't needed in PATH environmental variables on Windows,2,2
9,CMake command is not recognized,2,1,0.166666667,I have installed CMake and cmake.exe is in,0,1
10,CMake command is not recognized,2,1,0.333333333,But when I run through a bat file I am getting an error message,1,1
11,CMake command is not recognized,2,1,0.5,Should I set this path in environment variable,1,1
12,CMake command is not recognized,2,2,0.666666667,It resolved after adding to environment variable PATH,1,2
13,CMake command is not recognized,2,2,0.833333333,Was able to resolve the issue by installing (on Windows 10) and running,2,2
14,.trim() in JavaScript not working in IE,3,1,0.142857143,I tried to apply .trim() to a string in one of my JavaScript programs.,0,1
15,.trim() in JavaScript not working in IE,3,1,0.285714286,"It's working fine under Mozilla, but an error displays when I try it in IE8.",1,1
16,.trim() in JavaScript not working in IE,3,1,0.428571429,Does anyone know what is going on here? Is there anyway I can make it work in IE?,1,3
17,.trim() in JavaScript not working in IE,3,2,0.571428571,Add the following code to add trim functionality to the string.,3,2
18,.trim() in JavaScript not working in IE,3,3,0.714285714,It looks like that function isn't implemented in IE,2,1
19,.trim() in JavaScript not working in IE,3,3,0.857142857,"If you're using jQuery, you could use $.trim() instead",1,2
20,.trim() in JavaScript not working in IE,3,4,1,If you aren't using jQuery you can use the following methods to add trim support to strings:,2,2
21,uncaught type error javascript,4,1,0.166666667,I want to make a personality test.,0,1
22,uncaught type error javascript,4,1,0.333333333,"But i can get from questions.json only first questions,when i clicked the next questions button i am facing this error ""Javascript Uncaught TypeError: Cannot read property 'length' of undefined""",1,1
23,uncaught type error javascript,4,2,0.5,I think you're calling renderQuestion without any parameter.,1,2
24,uncaught type error javascript,4,2,0.666666667,So data.length might be throwing the error.,2,2
25,uncaught type error javascript,4,3,0.833333333,please provide the line number of the error as well,2,3
26,ExecJS and could not find a JavaScript runtime,5,1,0.142857143,I'm trying to use the template and I keep getting an error stating,0,1
27,ExecJS and could not find a JavaScript runtime,5,1,0.285714286,"Fair enough when I didn't have any installed, but nothing is working.",1,1
28,ExecJS and could not find a JavaScript runtime,5,1,0.428571429,I could not find a JavaScript runtime.,1,1
29,ExecJS and could not find a JavaScript runtime,5,2,0.571428571,Just add ExecJS and the Ruby Racer in your gem file and run bundle install after.,1,2
30,ExecJS and could not find a JavaScript runtime,5,3,0.714285714,I'm on Ubuntu and had similar issues.,2,2
31,ExecJS and could not find a JavaScript runtime,5,3,0.857142857,Installing Node.js fixed it.,2,2
32,ExecJS and could not find a JavaScript runtime,5,4,1,This will solve the problem.,2,3
33,Runtime erro with exit code 6 on online judge,6,1,0.090909091,I am doing my c++ homework on an online judge.,0,1
34,Runtime erro with exit code 6 on online judge,6,1,0.181818182,There are m strings with a length of n.,1,1
35,Runtime erro with exit code 6 on online judge,6,1,0.272727273,"I need to find the minimal expression of a new string, and then insert it in an trie tree.",1,1
36,Runtime erro with exit code 6 on online judge,6,1,0.363636364,"For each string, I need to return the ""positon number"" of the first identical string.",1,1
37,Runtime erro with exit code 6 on online judge,6,1,0.454545455,"I compiled my code with VS and g++, and runned my program lots of times for testing.",1,1
38,Runtime erro with exit code 6 on online judge,6,1,0.545454546,It worked perfectly.,1,1
39,Runtime erro with exit code 6 on online judge,6,1,0.636363636,But when the online judge system returned runtime error,1,1
40,Runtime erro with exit code 6 on online judge,6,1,0.727272727,It can be caused by new and delete operation.,1,2
41,Runtime erro with exit code 6 on online judge,6,1,0.818181818,But I still cannot debug my code.,2,1
42,Runtime erro with exit code 6 on online judge,6,2,0.909090909,"This potentially happens a lot in the main function's loop, hence you may run out of memory.",1,2
43,Runtime erro with exit code 6 on online judge,6,2,1,"Since this is an online judge platform, I'd recommend coming up with extreme test cases",2,2
44,"C++ data structure list, erro in my code",7,1,0.142857143,Hello i tried to compile my code but i get acess violation error.,0,1
